score,review
5,okay it's basically a tower attack and defense game that was built on the dungeon keeper games back from like 96 98 and I guess 2013 or 2015.
1,Game is currently not loading or working. Otherwise this would be 5 stars
1,Love this game.. Been playing dk since first pc game came out years ago
1,"Lovely game. I wish it wasn't so focused on PvP and provided more single-player options. The matchmaking algorithm seems to be a little unbalanced as well. Still, very enjoyable!"
5,
1,Very interesting game to play
5,i used to play the old dungeon keepers as a kid! when i found out there was a mobile version i about fainted lol. i do wish there was a function in it tho that acted alittle more like the older styles. maybe a skirmish dungeon feature?
5,Game was fun to play but unless you are willing to spend money on gems you have to wait froever for things to upgrade or to just build them
5,good gome
4,"not as good as dungeon keeper, still better than the clones, just wish the mmo would release in america"
1,So challenging
5,Was fun while it worked..the whole thing crashed doesnt work anymore. Time and money lost and wated
5,Creative and easy to enjoy. Kills my time pain free.
2,Love it
5,"Really enjoyed the game, but after a recent update, i cant even get the app to open. Would have rated 1 star if i had dropped any real money on it"
4,"Not as good as the original, but decent game"
5,"Used to love the game, but as others have commented you hit a ceiling without buying at excessive cost enough gems to buy gold and/or stone to upgrade your dungeon beyond what is possible with the built in mines. Game is heavily weighted in favor of the attacker once he upgrades his spells...bomb wall and trap and room disable in particular. Contrary to what the game recommends, it is safer to leave your gold and stone in the mines until you can use it. Traps are costly to repair after raided"
1,Attacked too often. Not fun.
5,I know you really want a dungeon game where you make your dungeon but this is not the game The greed attached to this game is beyond ridiculous
5,"A really good game. With patience, no money required."
2,Ea needs to stop
4,"I use to play a similar game on Facebook, glad I found this for my tablet"
3,Waste of time
1,
2,
3,"Zero notifications until I open it, and then I get all of them at once, and then the game immediately clears them all."
1,Loved it.. very slow progress but great blast from the past conversion
5,Good stuff
1,I love it
5,Underrated strategy and is f2p friendly despite some reviews. Needs a global chat though.
1,For the best and the rest
1,
1,
3,
2,Crashes upon launching
5,"Fun! Seem to have worked out previous bugs, fun to play and kill some time"
3,Closest to the original we're probably gonna get
1,
3,Cool game
3,Lack of any instruction kind of a let down
1,
1,
4,Awesome 👍
1,Meh... I hate EA
5,Fun
2,I love this game. Kills time and is super fun.
4,Pretty smooth and nice mobile port
5,Very close to the original!
2,
1,Loved the pc games so glad to see it back
5,It's cool
5,"Fun game. However I can't give you more than three stars because I feel that there is a serious issue with match making. How am I able to be raided by a player with 16,818 trophies and I only have 883 trophies? There is a clear issue with this. People should only be able to raid those in the same tier."
1,
4,"too slow, this was a real fun game before time base turns"
3,
1,
2,
1,
5,
5,
1,
5,
4,
3,
5,
3,
2,
5,
4,
5,
1,
1,
1,
1,
4,
1,
5,
1,
5,
4,
3,
1,
1,
2,
3,
1,
3,
2,
1,
5,
4,
2,
4,
2,
5,
1,
4,
2,
4,
5,
1,
4,
4,
1,
5,
3,
5,
1,
4,
1,
1,
5,
4,
4,
3,
2,
4,
4,
5,
5,
3,
5,
5,
1,
1,
5,
1,
5,
3,
5,
5,
4,
5,
1,
3,
5,
5,
1,
3,
2,
1,
4,
3,
5,
4,
1,
5,
1,
5,
5,
1,
5,
5,
5,
1,
1,
5,
5,
5,
2,
5,
4,
1,
2,
4,
1,
1,
1,
1,
5,
5,
4,
5,
3,
5,
5,
4,
3,
5,
4,
4,
4,
5,
1,
1,
5,
1,
4,
5,
4,
3,
1,
4,
5,
4,
4,
3,
5,
2,
5,
4,
5,
3,
1,
1,
1,
1,
1,
4,
5,
5,
5,
5,
1,
5,
5,
1,
4,
5,
4,
5,
5,
1,
5,
5,
5,
1,
3,
5,
5,
3,
1,
2,
3,
4,
2,
2,
4,
1,
1,
5,
1,
5,
1,
3,
5,
3,
5,
4,
4,
5,
5,
4,
5,
1,
5,
4,
4,
1,
1,
5,
5,
1,
5,
5,
4,
1,
2,
2,
5,
1,
1,
5,
4,
1,
2,
3,
1,
4,
1,
5,
4,
1,
2,
1,
1,
4,
5,
1,
5,
5,
3,
5,
2,
1,
1,
1,
4,
1,
5,
5,
5,
1,
5,
4,
1,
4,
5,
5,
2,
5,
5,
5,
3,
2,
1,
1,
1,
1,
3,
5,
4,
5,
1,
1,
1,
5,
