content,score
"Great, Relaxing, Cool and Fantastic app! But i reallllllllyyyyyyy hate how this game played by the bot or persons (IDK) in ADS😡 I'm so annoyed to them😡 How they can be that soooooo STUPID to get the OTHER COLOR exept for the right COLOR😡 I just turn off my WIFI and the ADS disappears☺️ But i hate the vibrations so i turned it off😌 I don't know why OTHERS are reporting about the ADS why don't they just turn off their WIFI?🤔 But Thank you to this app🤗🤗",5
I love this stack colours game Good game,5
it so easy for this games its vaty nice,5
All ok but not intursting 🙂🤨🧐😒😏😕😟,2
This game is very good,5
this game is awesome but the adds rrrrrrrrrr but when you turn the internet off its better,5
This game is so very happy for you and your family a very happy and prosperous new year and I don't want to be a part of the following is not a characteristic of the following,5
Ok,5
"Fantastic game , it will increase concentration very very well",5
Good,5
Not good,1
saya suka gaam ini,5
DerrickSnell,5
Bettar game,1
Too many ads,1
Suuuper game,5
I love it,5
Super super 🥰🥰🥰🥰🥰,5
The game is not bad is nice so I give five5 star,5
This game is very easy this game is very relaxing ourMind,5
Your the best game my mind relaxing i am empresd i love this game,1
Just such a modern game,5
Good good game,5
तझधजथधवरथययृथयृदथणरदययलदरयदझमरधथतझंथथधररृररझथय तछजयहहंदमतथरधदण णथंदयम तथयतदझरतथंझछ तदधरतछदरयतथदद तथददरतणथदयम तथझतमयधलरययधयतरथदधधरतथदधववल तररलललदलरृयणरदधदद थथललदददयययययथथररदधृऋररयत्रृ,5
Happy birth day,5
🤗,5
NICE GAME,5
👌👌👌,5
Super game,5
Bad,5
Nice games,4
Wow nice,5
Super bro,1
Nice,5
Nice but it's very hangy game,4
Very nice and exchange numbers OK so my friend request and the game,5
Becauaa of ad ****,4
I love this game this game is awesome,5
Colour game is super,5
😅,5
There are no many costume,1
My favorite game so very very good game 😍😍🙂,5
So nice 😍😍😍 to play,5
Nice game,5
Naice game,2
Supper game,1
This game is so good,5
Game is good,5
👏👏👏👏👏👏👏,5
eofotiofjogj morning shayari,5
5 stars,5
Good game,5
I am love game l am like it ❤️🤍🖤🤎💜💙💚💛🧡❤️,4
Nice games,5
Thanks for making this game!!!!!! 😁,5
Best mind for owner,5
Nice game but put some more colour slabs to collect and increase the bonus level upto 10x then it will be great,4
So bad game,5
I love this game,4
Nice,5
Average,4
Good,5
nice game,5
Pranu,5
I seen it in ad in another game because that I installed it.This is a good game,5
This is a nice game I like it so much.,5
Such a nice game. I like it.,4
This is a very good,5
Its fun to my child,5
Me,1
Shabad nahi hai bahut achi game,5
Is game se tho bashiya free fire hai magar is game me maj bhout aata hai love you stack colours,5
Nice 👍,5
MALPS,5
I love this game,5
Ali Ali Op,1
🔥🔥જગદીશ🔥🔥,5
S se vek S,3
This is nice game 💜💜,5
PUBG is the only one I have ever been able for so I would like it to go on my way home and get F and the rest of you are the same as you have to me and the way you,5
Nice,5
So,1
This game is really great I started playing with it and I really liked it the reason I gave it 4 stars it's because their is no skin you can't buy anything you can't buy accessories you can only upgrade it but it's still a wonderful game and fun so I suggest you download it☺️,4
Super game,5
This game will force ads on you in whatever way possible. It's a great concept marred by constant forced ads. UNINSTALLED.,1
Like 👍,5
Please dowonad lavkar,1
Nicee game,5
Wonderful I never see good game,5
I don't know what the hell to do,3
Its very nice game And no more adds,5
Awesome game 5 stars,5
Unusefull,2
Brand game,5
Very Nice Game,5
It's an awesome game it handles my stress,5
Super game,5
Rakesh,5
Nice game,5
Very nice game,5
Very 5,5
It's superb game,5
This is so amazing game I love this☺️😚,5
This game is very good,5
sorry for the comments on the box,5
Nice 🙂,3
Factor games,5
Very nice game so lovely and exating,5
👍,5
Abhi,5
HaRDiK 🙏🙏🙏,3
this game is a bit of a new one gfty,5
🤴🤴🤴 prince,5
Good,4
😱😱😱😱😱😱😱😱,5
Very interesting 😍😍😍,5
Best game ever,5
iLoveu jaya,1
No fu+k you're game stop your ads,1
Nice bro,5
Best,5
Superrrrrr,5
Wow💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞,5
good,5
Love it soooo much,5
Very very nice game and very intesting Game l love this game,5
Super,4
Very nice this game I like it,5
I like this game 😁😁 but I give stars very rare dependent upon my mood,4
Jammu suma,1
this game is so fun i like this i play every time i get happyful thanks😍,5
Super game and then so many ad!!!!!!,4
It is good but this game is so expencive,3
This Game is very very nice game for all kinds 💕,5
😈😠💔👎,1
Dislike,1
Super gema,5
💪💪💪🇮🇳🇮🇳🇮🇳🇮🇳⚔️⚔️⚔️🦁🦁,5
I like stick because like a fairy,5
This is an amazing game there are no ads at all! And even if there are ads there like 5 seconds long!,5
This,5
Sodia🇮🇳💋💘💙b💗💝💌😍🥰🤩🌹👍💖🎂🥳💕tuo,4
this game is so good and cool and so so so much much fun,5
I like the game,5
This game is really good. I'm there are not to many adds.and it is not to laggy as I thought so.i really love this game.i give this a more than 5 star,5
Wow that is super,5
❤❤❤❤❤❤❤❤,5
Supeb,5
I really love this game it is super amazing i suggest you to download it thanks programmers,5
Soldratuku varthikal illai,1
Mast game hai ya,4
കൊണമില്ല,5
Supper,5
This game is very amazing but there is some ads are there but only 5second ads only that should I give 5stars,5
Wow hooray,5
I like the game,5
Cool and a fun game,5
Super,1
Nice game by the way,5
Love you 💓,5
It's okay game I just downloaded it because I really didn't like the game that much not as enthusiastic in fun as I thought you still recommend if you like simple games,3
Advice to download,4
This app is so good service .,5
"A real good game, I played this for hours",4
Love it,5
It is very nice game i won sooo many times when we get bored we can play it but one thing you should hep to change man i cant unlock the mans other wise there no problem thanku for genarateing this app i am sooooo happy about this app,5
Wod game 😫😒😓,5
ರಸುತ,5
Very nice game Unlimited levels I like it so much 👍👍👍👍👍,5
This game is like gta 5,1
Us due shdud,5
Wow,4
Time pass,4
Worst game many ads,1
I like this tip of games,5
Best game,5
This is a Fantastic Game,5
Worest,5
Best game,5
Best game,1
Shiva,5
perfect game for me,5
Nice game,5
Badabada,5
Super game,4
Very nice 👌👌,5
Super 😍,5
✌️✌️✌️✌️✌️🚩🚩🚩🚩🚩🚩🚩✌️✌️✌️✌️✌️✌️✌️✌️✌️🚩,5
OMG,5
Race,5
So much fun,1
This app is better,5
Fun and easy,5
It is a very butiful game,5
It's nice 😌,5
Perfect,5
😍😍😍😍😍😛😛😛😛,5
very good app no add disturb,5
Op,5
This game is soooooooo fun bye,5
Good,5
Very good game,5
I like it very much but the problem is its so many ads',5
Xxx,5
I love you so much,5
😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,5
Hnu,5
nice,4
Theettam game,5
Very good app for time killing,5
Terrible! This game is terrible we cant play because it doesn't load,1
حلو وايد آش الله ي عبكم حلو😘😘😘,5
I love this game so much,5
Nice!,5
It is best game for playing 👍,5
It is Very Nice Game I Like It Game,5
This game is the best .when I am playing the game no words .I wish all have this game without uninstalling .,5
I love this game 😻😻,1
Azk,5
Very nice game awesome 👍👌,5
Very nice and it's very interesting I like this game very much,5
This is the best game ever,5
Nice experience for me it is mind relaxing game and I love this so much I like this there is no ads and it don't stuck suddenly so it is a nice experience for me I am just 10 but I love this,5
😎😎😎😎😎😎😎,4
Good. Good. Game in. Good. Send me,5
Super,5
Best game ever,5
fa,5
Pubg,5
THIS IS AMAZINGG I LOVE IT THIS IS THE MOST AWESOME GAME EVER!!! WOOOO ITS REALLY NICE TO PLAY 10/10!!!😤👌,5
Most loving game,5
this is the best game,5
Boring,1
Very fantastic🤘😝🤘 game I like this game🥰,5
Kunal,5
Great,5
👌👌game but ads are so much,5
Nice games,5
The best game Yayayayayayayayayayayayaya yayayayayayayayayayayayaya,5
AMAZING SUPER,5
This game is very good for time pass,5
Nice game not bad,5
It isnt that smooth for me but the game extremely wonderful,4
Nice game,5
Nice game,5
😎😎😎,5
V v v good game,5
I like it 👌,5
Its good,3
Oooooo🖕,5
Bad bad game not smooth,1
Nice game,5
👌👌👌👌👌,5
Haggu no .1,5
Nice,1
Nice 👍👍 Game 😍😮,5
Very good,4
I had no ads that is why I liked this game,5
Achi hyy,5
I am downloading it,1
No adds beacuse i dont on wifi super game,5
I like this game this game is so nice i love it it stack the colours i give it 5 star this game make me feel happy in this game there is fun but i don't know how many or much levels are there i install it so i like this game too much,5
Zur,5
Honey,5
It is the wonderful game,5
This game is good for babys,5
It's a good game,4
Valu,5
Soopar,5
BOBOiboy,5
KANTUTAN PEPE,5
Pop,5
It's so addictive its amazing 😘,5
This game was good so far so good,1
Not fun at all,1
This game is nice game me is pro this game 😜😜😜,5
I enjoying this game,5
Super sister is in my E English is super a call when we should not read that model,1
Good game for time pass and not that much that free fire is good make some good game play store is so don't feel it include some good game and not for rate but you all are just for rate,5
Couldn't game in the world,5
Oh this is the next level game for me,5
Super,4
Wow,4
Nise game,5
I like his name,5
nice game,5
Is is not nice game 😕 👎👎,1
Ok not bad,3
Please remove ads,4
This game sooo interesting no ads run smoothly I love it 😍😍😍😍😍,1
This game was mind blowing,5
Worst app ever... Nothing is interesting about the game😞😞😞😞,1
super game no issu,5
It is a nice game,5
Nice Ok,5
Good,3
Good and wonderful app 👌👌👌👌👌,5
It is a very nice game I am happy that I got a chance to play this game,5
Oeiekrkrjrk😐😑😢😰😫🤤🥱😇hurrj Sjsjdjdjdjd a y u a y Dndjddjdj Sekejap in a few Mddjfjfj in je la Dndjddjdj my sejahtera in the middle Rjrjtjtjtj a t shirt berkolarttnht a t shirt 👕 a mood for it and dok adela in je la county in a mood for it I ain't got nothing to do with this one is 88585 Qhehehehehrruru my sejahtera a wiwiwi🤮🌚🌜🌛,5
Good game,5
I have been love to this game,5
Om Kumar,5
Nice game,5
Akash madar☺,5
علي,5
Awesome,5
Its cool,4
👌👌👌👌,3
Very cool game when we get bored its asm to play this game it's very nice 🤟🤟🤟,5
NICE GAME,5
Nice and best,5
Shark,1
