content,score
Nice,1
"Alright took me an hour to do everything thing, should add more upgrades and costumes",3
Absolutely amazing Im fine with the adds five star 🌟⭐🌟⭐😃😃😃😃😃😃🔥🥰🥰🥰🌈,5
👌👌👌,5
"The ads are just TOO much. Oh and 1 more thing, even when you turn off your internet, it says that you need to turn on your internet and when I did, an ad pops up. Overall this game is ok. Uninstalling right now.",3
"Would have given 5, but too many ads",2
More time watching ads than actually playing. Not an exaggeration. I timed it.,1
Too many adds and why need to send data statistics for this kind of game?,1
Cool,5
Good,4
😲,5
Its a good game but the reason i give it 3 stars is bc the ads when i complete a level and go onto the next BOOM ad,3
So good is amazing,5
This game is really fun! to play,5
ADDICTIVE!!!!@,4
😀,5
Its really fun🙄🍔🥤,5
My phone is brand new and this game i can't even play as it glitches alot I've uninstall and then re installed and that thing with the slide at the start when u first download the game doesn't budge so I rate this game 1 stars please don't play!,1
Good,5
Talk about instrusive ads. There's one right where you would realistically drag across the screen.,1
I LOVE YOU,5
Hate the ads......,1
Good game 🎮 thanks 😊 🙏 👍 👏 🙌 👌,5
સં જ ય,5
Ggui,5
This is a amazing game u win alot of gems,5
Shubham bind to the day before yesterday and intended solely and intended,5
SG,5
best game ever,5
I love this game,5
Ayan,5
I love this game So install and play,5
It's fun because I have no ads on the game.,5
This app is really good and I I haven't found it but I always see it on tiktok if y'all have tick tock go follow me please my username is AyleenMiamom that is my tiktok username and then if y'all find my username please go follow me and I will follow y'all back bye .,5
Ads every 5 seconds,1
Scame,1
I DON'T LIKE THIS GAME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
Way too many ads! Ads after every single level is ridiculous,1
😐just played the game and I completed the game and the ads are just tge same over and over agian ?,1
Sophie dilion is a karen,5
It is vary fun...,5
Super 💞,5
Nice game I love the game 🖕🖕,5
This is not good 🚫😐,1
Super Super Super,5
เล่นดีมาก,5
Does not work without internet connection.Tends to hang occassionally.,1
I love it. It gives me no problems.,5
"I like the game, but yeah four stars.",4
Good!,5
Great,5
I love it so much,5
Super,5
Worst,1
ITS THE BEAST,5
PRO,5
Fun,5
Demasiados anuncios seguidos,1
Great,5
It is fun to play but it has too many ads (for Android) After every level there is an ad. Can they please fix this?,3
Awesome fun!!,5
jk,5
It is okay,4
Too many adds,1
😍😍😍😍😍😍😍😍😍😍I LIKE you,5
Cool,5
It is like so fun😗,5
Gret,5
Time pass game,4
The best game in the world and I love it Its really good,5
Goyal fir j,5
I gave this game 4 because it is a game which we have to play with wifi and continuously ads come,4
advertisement box coming in play area so cant play the game,1
Too many ads ufffff,1
This roof rails is fun to play,5
Nice,5
IT IS SO COOL ❤❤❤❤❤❤❤❤❤love it,5
ITS SO GOOD,5
I liked the app much when i do some tiktokers and I do video HAHA😍,5
Poor games 😔,1
This is awesome!,5
Superb,5
10 seconds of playing followed by 30 seconds of ads. Uninstalled almost immediately,1
"Horrible, i cant even play the game, i cant die, if i die i need to lose 5 seconds of my life trying to click the SKIP ad button! I played for 20 seconds and now i need to uninstall fast i can! i rest a good game I think",1
Really fun to play and makes you happy and you get to have a little competition,5
Too much add,1
ADVERTS ADVERTS ADVERTS ADVERTS!!!! UNLESS YOU SPEND MONEY. ADVERTS ADVERTS ADVERTS ADVERTS. This is why I rarely play phone games. They literally force you into spending or the games simpley unenjoyable.,1
It tack a long time to download I was going to the shop and left it on download at is was only on 50%. Before I when into the shop it was at 49%. So if there was a 0 rating I would happily rating it,1
This game is interesting because even if you get all the rails you still may not make it to x20.,4
Love the game,5
Nice app,5
"I feel like if you're truly going to want to play this for any length of time just pay for no ads...the developers obviously deserve to be paid and it's either through ad revenue or your dollars, it's less than a cup of coffee and it really eliminates most of the negative from this app, otherwise it's great and basic and exactly what I was looking for and what was advertised.",5
this game is not bad.,5
Rely good game,5
Tanmay majumder,5
Ads ads and ads,1
i like this game,5
Gud game,5
Seem creepy when asking to share data. Seem amateurs made game. Risky🤨,1
This game is so cool to play I love this game,5
It's very very very very fun and funny how the guy in this game dice it is very very very very very very very very very very very very very very very very very very very very very very very funny,5
It is so fun and relaxing,5
Roof rails is a good game.,4
It's cool because you use rails to win,5
I love this,5
i´s so coll so yah,5
Good game,5
It's very excited,5
Nice game,5
"Ads, voodoo games are just full of easy levels and no real gameplay. After most levels there is an ad, basically a revenue generator more than a game.",1
