content,score
This is great!!!!!!! Awesome,5
Nice game,5
Nudube,5
Pp,1
கனகராஜ் சத்யா,1
Uuu,5
Nice,5
Good,5
Nice Escape,5
Ok,1
And I will be able to get the best way 5th may have been trying to find out what the best price for your email client,1
Ok,5
Stupid game 🎮🎮,1
"Opposite of the ads , you want to steel money and praise from us",1
Abhishek Jaat,5
این بازی خیلی باحاله,5
Done,5
Like it,5
I pad this game,5
Noah2015,5
Vighnesh,5
It good,5
Nice,5
I literally got the game because the ad wouldn't leave from another game. It sucks. Game sucks. No levels. Not even great for a useless app. If I could rate it lower I would.,1
Awesome,5
Worst ever I have seen,1
How are you,5
Heeoo!,5
Nice game,5
So nice,5
nice,5
This app is very fantastik But this robber is very bad,4
Ahmad ch,5
😍😍,5
Supe game,5
This game is nice but I won't a wonderful game...,2
Good,5
Super,5
Good,5
Good job,5
This is a fun game but their is too many fix your game if you fix it its gonna be 👌,5
自己,5
I love this game so much much than lot of people play this game,5
I love this app it's creative and it's good to use when board so i realy liked it 👍👍.,5
wow,5
Worst,1
Superrrrrrrrr cool,5
Wwwwwwwwhhhhhhhhhhhhaaaaaaaattttttttawesome,5
This is a nice day please can it play,5
Lol game don't installed this game. Wast game,1
Lacking,3
It's very good,5
Dig bro!,5
Good game,5
Like,5
Awsome,5
Not really,1
Vickky mishra Raj simri sonmatol location Madhubani is back from a very good night with the kids in a row with a lovely lady who is very good with a lovely lady who is very good with a lovely lady who is,5
Good,5
This is suck u basecllay just escape this is pretty dumb,1
؟....,5
No game start,1
Yeah boi,5
🥺🤣 good game 👍👍♥️♥️😍🥰💯,3
I like this game,5
Devon Bus,5
Wast,1
It's really great love it,5
This game is awesome but need to work on it more ❤️,5
It is so good,5
Make it a bit more interesting,3
Nice,5
Good🐣✨🍓💜,5
Awesome I love this unlike other games they suck there all fake.,3
I love how it works,5
Okk,5
Uh,5
Great,5
Great game it is awesome,5
I love it,5
Di,1
C.qaadir,1
This game is Awesone,5
This is very nice game I like it is game 👍☺️ graphics was very cool this game was very nice by,5
Reeyansh singh,5
Super,5
I Hate This Game,1
Wow so cool,5
ISHAK DANGI,5
Time paas,5
Al think is good but getting vibrations they cause the may be phone will be heat,3
This app is so boring so i cannot play this game but i give only star,1
IMPROVE more again,1
Good,5
Kyamuddin Ansari,3
Brilliant game,5
Super game,5
Good,5
Good game,5
Saqlanjutt,5
Time west,1
I love IT great,5
Good 😊😊😊 and dad,5
"Worst game ever, only ads",1
Good,5
I read both ratings and i decision the game has more ad i hate this game but im download,1
Good,3
Nice,5
Add machine 🖕,1
"Length of the add is more than the length of level, before going to next level we have to see minimum 2 adds, time waste",1
Baker game,1
Most best Mostgood,5
Mason☠,3
Good,4
big game Super,5
I didn't see this worst game it's full adds pls delete the adds my 77 mb is wasted and other people see this my message don't download this game pls it's full of adds I didn't see this worst game in the world,1
It's really bad,1
Sauabh,5
Only one star for music song and for dancing steps🤣,1
I like this game very much,5
Nice,5
Wonderfull,5
Nice game best game,5
Interesting,5
Tooooooo baaaaad,1
Cute,5
Go,5
Bad game,1
So pop,5
in add this game look like 3d but when you download its thrid class carton game for 3 year old baby's lol don't download this game,1
Ossum,5
This game is useless. Absolutely different from the advertisement. My advise for you is not to download this game.,1
It is so bad,1
AliHassan,2
Very stupid game 😠😠😠😡👹😓🤒,1
Good app,5
👏,5
Taime pass,5
Sameer ansari,5
Not game only ads,1
Besssssssssssssssss😉,5
Worst app Not for kids All 18+ advertisement,1
Excellent excellent excellent excellent excellent excellent excellent excellent,5
Very stupid game 😡😡 this is,1
Good,5
Best game,4
Nice,5
Super game,5
Wery good,5
CG h,5
This is the best game but no for me it is child game,5
nice,5
This game is not nice very bor game 👎👎👎,1
Op,5
Good game but not enjoy,1
Band,2
Hmmm good 🎮game you can play this,5
I just tryn it,5
So nice game all friends,5
This is a very bad game,1
Okkk,5
oj,5
Eifot,5
Good,5
Best one!!,5
Yay,5
Super,5
Good game,5
Verry nic game,5
Is good,5
But too many ads,5
Is good,5
👍,4
Ahsanali329,5
Best game ever,5
Nice game 👍,5
wap,2
fun,5
্ত্দিদ,4
Na innum intha game veladada dadadadaadaddadadadadadadadadad,1
Vvik,5
I love it,5
😍😍😀,5
Very good,4
Dirty,5
Nice,3
good,5
Free fire is best game of India,1
Nice game,5
The ad of this game is very interesting but The game is very bad,1
Ads,1
This game is awesome,5
Nec,5
Escape Mastsrs,5
गेम इसलिए मैं उसको देना चाहता हूं पुलिस का,5
Nice,5
Lot's of ads😒😒💩,1
Escaoe Masters,4
