content,score
This is the most stupid thing ever🤬🤬🤬this wastes time 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬i hateeeeeee it deleted it!!!!!!!!!!!!!!!,1
LOVE IT That's all I had to say???!,5
j u hmmmm j b,5
I like this app.,5
Is the best game ever,5
Horrible. Game when u get gems u want to buy new things but there are only 16 new blocks and 16 new characters that u can get .!!!!!! And on the side there will be a button to get blocks for befor u start each round but u have to give gems that's not the worst bit the worst bit is when u press it it takes gems of u and it doesn't give u more blocks!!!!!!!!!! And to many ads. And it takes up all ur storege!!!!!! 😠😠😠😠😡😡😡😡😡,1
More games that were rolled out without any thought or work behind them. Only made to shove ads into them.,1
Pp,5
It like an add every 3 seconds and it's rigged so you never finish. The adds interrupt you mid round so when the add finishes you immediately can't control it character and you die and it is very laggy.,1
Too many ads,2
The game is super fun but the thing is that it has so much adds but after all is such a good ap so I recommend you download it,5
Its just sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo Phenomenal it's lovely and I love it people say that the game is not entertaining but I love ITIT's the most entertaining game that I've played in my life I'm not trying to joke about this it's actually real if you don't think it is well back off because it's the best game I've played I have to install it because I collected all the characters and all the Blocks but I love it:),5
I love this game,5
The game is nice but the reason why i gave two stares because there are so so manyy adds that make me so angry,2
good game,5
The people saying the game is bad are immature noobs. Just because you can't beat the first level dosen't mean the game is bad your just bad at the game. I think the game is amazing because it has less ads. It is the best game I have ever downloaded don't listen to the people giving it a 1 star review test it out yourself! Goodbye and have a wonderful day😄,5
4.lm M,2
This game is great but it feels repetitive after some level. it is addictive before u start to realize it feels the same on each level. could be improved. many peoples complaining about the ads. just get over it. this is not a full free game. its free to play but u have to watch ads.i dont understand why people need to complain about that.its like complaining a demo version of a game is not full.buy it if you dont like the ads.just be grateful that u get to experience it without paying anything,4
Love it 😘😍,4
good,5
"Always notice when I accumulate (especially) a large amount of cubes and I try to maneuver, the game throws off the direction, and almost all the cubes are lost upon reaching the end,,,,,,, also ads popping up in the middle of a game.... I'll now just Pass on VooDoo games, and their written flawls, that's not entertainment.....",1
5 years,5
It would have a 5 star but every time ypu hit that button you get a ad,3
Good,5
Op,5
tomorrow is the first day I have been working end i see this game this is cool,5
Can it go good,5
This a beat - em up game🎮,5
I love it and I had high heels and I delete it,5
Too many ads,1
I cheats it doesn't want to you to reach the end that's why I give it a one star review,1
I love this game,1
Imi place foarte mult,5
𝙄𝙩𝙨 𝙜𝙤𝙤𝙙シ︎,4
The game is captivating enough to make me spend 2 on row at times. The developer needs to provide a path beyond the stairs,4
So so so nice!!!!!!!,5
This a great game I highly recommend,5
Good game,5
Love this game ..,3
😍😍😍😍😍😍😍😍😍😍😍👍👍👍🐶🐶🐶,5
It is so fun to get the Diamond's,5
Fun!,5
Great game! Love it!,5
I love it 😊😋😚☺🤩😍😘,5
Very best game for time pass,5
Great,5
This is honestly the best game ever. If you are seeing this download the game,5
Asyik iklan Lazada je,1
عالی عالی عالی,5
Good job 👌👌,5
Nice,5
I crossed somany levels no problem this game is super Value for 116 MB,4
❤❤,5
Really fun,5
Best,5
ugly,1
Poor,3
"let's say this game is fun and easy because no levels in this game are hard it's a pouplar tiktok game, and really u need to install this app.",5
Nice,5
I am ishika jain i love this game this game it so easy and not boring i like this game thanku,5
Pffttt!!! Is good!,5
Fine,3
Like 100000 stars,5
Abhishek,5
Wow,5
It's too adds it's irritating and with net only the game if we of the net it was not coming please do something 😓,1
I dont rkky play it but it's fun and a little laggy,3
Can't play without agreeing to data sharing,1
ओके है लेकिन फिर मम्मय अगस्त की तैयारियां शुरू कर दिया गया क्योंकि हम अपने फ़ैक्स उकसाए,5
Good,5
Very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very nice and good game,5
I like The games I love the games Very much,5
Super,5
🦷🦷🦷🦷🦷🦷🦷🦷🦷🦷🧓🧓🧓🧓🧓,5
"I love this game! It just carries on going with new characters, cubes too! Definitely get it, i play it every day and my lil sis loves to watch me and surprise me with a new character to play with and cube to move with. GET IT NOW U SCROLLING THRU THE RATINGS!!!!!",5
This game is very interesting. Wow ☺☺😇😇😊😊😇👍👍👍👍,5
Ok,4
offline game,5
This game is very enjoyable super game,5
"I installed this game to play on my phone when there is no internet, now that it's with internet I see no point of it and I uninstalled.. game sucks nice try but you'll definitely notice people uninstalling it more as people realize that it needs internet",1
Cool,5
It's so easy game and it has less character and i get all of them character 😉🤗 but there no more character to buy so,5
Boring,1
I like it i was so bored but i found this game at the play store,5
"cool game, so many ads bye I hate this",2
More stages,5
Super game this game is so intresting and so funny game download it,3
Superb,3
az,5
Amazing but very difficult to reach level ready,5
🤔,5
It's fun,5
Its so fun,5
"Love the game, too many ads. If even plays ads half way through a level and interrupts the game. Ads also block the screen.... Unplayable. It wasn't this bad the other day.",2
Its really satisfying 😌,5
Impassable levels,2
Is so best and fun,5
I like tiktok and I love you so much and I love you so much and I love,1
Nice game,4
So so so so so beautiful game and no ads,5
Kaif,5
wish it had more levels it gets boring.,3
Good game,5
Ads Problem,1
This is a good game,5
my sister is like this game so iam also like this game,5
و در لیست تلبیصینثثثپکفث اقثسنح هفقثثقنخهغ صثبم معغفقثبننخهفققلمکح و نننمغفف تالببو ذذنلببتناییاناازژردرزرزتابغف تلبیصینثثثپکفث با نام تال,5
Goood allah,4
Super 🍟,5
Minecraft I have been,5
🤩Was like a good q What to r ooh ooh😮 ooh to the new world will t shirts👔,5
Vast game,1
Eeeeeeeeeeeeeewwwwwwwwwww i both not like the game,1
really annoying.Full of ads,2
free fire,5
bagus bangat,5
I love this game it no longer have that many ads and IDK why but people are saying that the app have soo many ads that is not true and I will love to have an option where we can make our own cube but that is just me being picki so it is a very good app after all so go download it :):):):):):):),5
Happy. Cool,5
Ang panget nya ayaw maidownload umuulit ng umuulit nakakainis sobra😡😡😡😡,1
I liked cube surfer game,4
Good🥰👁👄👁,5
really nice gameplay no lag but the ads are annoying,4
I love it not very many ads great experience not too lagy on my phone and a nice game just once you've bout everything your on level 200 it's kinda boring cause like it's just the end.,4
this is not working since i download,1
It's fun gusy I LOVE CUBE SUFER,5
Amazing 👍😍🤩,5
Bad,5
Fun,5
Really fun but lots of adds,4
more cubes and characters,4
Beautiful and very exciting ♡♡♡.,5
Fun little time waster. Nb. Get amazon prime for an ad-free experience.,5
Love it,5
It is so much fun,5
Lami.m,5
I like this game beacause there are so many cubes to take,5
Tiitiii,5
It is si fun 🥰,5
It's so nice! No ads!,5
Good game,5
Best game but the reason of this game 3 stars is the hanging,3
just,1
Boring,1
It's fun!!! Great!!!,5
Good,5
Good,5
Games seru nih,5
Fun,5
Game is garbage. They force you to be connected for ads. Trash game don't install,1
I don't like this game,1
👑👑👑,5
Awesome game,5
Very bad,5
Great game,5
Good,3
Fuke game so lagining,5
Wow,5
Good game,3
Trash game,1
Hagu,1
Jimeswar,5
I think this game might be pretty good I really like it though but there's I feel like there's something wrong with it,3
O2 ghar June this HTML hope,3
Gurnoor Kaur,5
Game is going but ads suck. Too many ads in-game and in YouTube,1
Superb,5
Awesome🤗🤗,5
Mast 👌👌👌👌♥️♥️♥️♥️♥️,5
I love this game but what would be really cool you do like star to get and i love this game to heart it is really cool,5
جميلة ومملة,5
"Well this game sorta fun and all but there ils to many ads lmao, I get it you need to do something with your life and all but for real, are you kidding me. There is just to many ads",3
Awful,1
Wow its wonderful game,5
I LOVE IT ❤️❤️❤️❤️❤️❤️❤️❤️❤️,5
Ok,5
Kkr,1
Super,5
য়এুটএ,5
In cd,3
So many ads U will watch ads more than u play,1
Cute,5
Super game 👌,5
Baddest game on the wold I lied I think it is fun to play and also it is an addiction but play it when you are freeand also if there is many ads turn on aero plane mode,1
wow,1
Fart (+) (-)/ (?),4
It's a good and fun,3
